	PL	EN	RU
repeatNtimes	Powtórz 10 razy blok instrukcji.	Repeat the instruction block 10 times.	Повторите блок инструкций 10 раз.
loopAndStep	Powtórz 10 razy blok instrukcji. Zmienna a rośnie od 1 do 10.	Repeat the instruction block 10 times. Variable a increases from 1 to 10.	Повторите блок инструкций 10 раз. Переменная a увеличивается от 1 до 10.
TurtleSeeColor	Jeśli królik stoi na pikselu w kolorze niebieskim, to wykonaj blok instrukcji.	If the rabbit is standing on a blue pixel, follow the instruction block.	Если кролик стоит на синем пикселе, то следуйте инструкциям блока.
TurtleSeeImage	Jeśli królik stoi na pikselu z kaktusem, to wykonaj blok instrukcji.	If the rabbit is standing on a pixel with a cactus, follow the instruction block.	Если кролик стоит на пикселе с кактусом, то следуйте инструкциям блока.
EqualsNumbers	Jeśli a jest równe 0, to wykonaj blok instrukcji.	If a is 0, execute the statement block.	Если а равно 0, то выполнить блок инструкций.
NotEqualsNumbers	Jeśli a nie jest równe 0, to wykonaj blok instrukcji.	If a is not equal to 0, then execute the instruction block.	Если а не равно 0, то выполнить блок инструкций.
EqualsColors	Jeśli c1 jest kolorem niebieskim, to wykonaj blok instrukcji.	If c1 is blue, execute the statement block.	Если c1 синий, то следуйте инструкциям блока.
NotEqualsColors	Jeśli c1 nie jest kolorem niebieskim, to wykonaj blok instrukcji.	If c1 is not blue, execute the instruction block.	Если c1 не синий, следуйте инструкциям блока.
EqualsImages	Jeśli b1 jest kaktusem, to wykonaj blok instrukcji.	If b1 is a cactus, follow the instructions block.	Если b1 - кактус, следуйте инструкциям блока.
NotEqualsImages	Jeśli b1 nie jest kaktusem, to wykonaj blok instrukcji.	If b1 is not a cactus, follow the instructions block.	Если b1 не является кактусом, выполните блок инструкций.
Greater	Jeśli a jest większe od 0, to wykonaj blok instrukcji.	If a is greater than 0, then execute the instruction block.	Если а больше 0, то выполнить блок инструкций.
GreaterEquals	Jeśli a jest większe lub równe 0, to wykonaj blok instrukcji.	If a is greater than or equal to 0, then execute the instruction block.	Если значение a больше или равно 0, выполните блок инструкций.
Less	Jeśli a jest mniejsze niż 0, to wykonaj blok instrukcji.	If a is less than 0, execute the statement block.	Если а меньше 0, то выполнить блок инструкций.
LessEqals	Jeśli a jest mniejsze lub równe 0, to wykonaj blok instrukcji.	If a is less than or equal to 0, then execute the instruction block.	Если значение a меньше или равно 0, выполните блок инструкций.
ClassicAssigmentNumber	Ustaw a na 0.	Set a to 0.	Установите в 0.
ClassicAssigmentColor	Ustaw c1 na kolor niebieski.	Set c1 to blue.	Установите c1 на синий.
ClassicAssigmentImage	Ustaw b1 na obrazek piksela z królikiem.	Set b1 to the image of the pixel with the rabbit.	Установите b1 для пиксельного изображения с кроликом.
ClassicAssigmentImage2Image	Ustaw b1 na obrazek z kaktusem.	Set b1 to the picture with the cactus.	Установите b1 на изображении кактуса.
DrawTurtleColor	Ustaw kolor niebieski pikselowi z królikiem.	Set the blue color to the pixel with the rabbit.	Установите пиксель синий с кроликом.
DrawTurtleImage	Ustaw kaktus pikselowi z królikiem. 	Set the cactus to a pixel with a rabbit.	Установите пиксель Кактус с кроликом.
