	PL	EN	RU
question	Zadanie	task	задача
sample	Przykład	example	пример
game	Gra	game	игра
fun	Zabawa	fun	веселье
course	Kurs	course	курс
lesson	Lekcja	lesson	урок
enterName	Twoje imię:	Your name:	Ваше имя:
startText	Wybierz kurs odpowiedni do Twoich umiejętności.	Choose a course suitable to your skills.	Выберите курс, подходящий для ваших навыков.
courseText	Wybierz lekcję.	Choose a lesson.	Выберите урок.
loginOrEmail	Login lub e-mail	Login or e-mail	Войти или по электронной почте
password	Hasło	Password	пароль
logIn	ZALOGUJ	LOG IN	вход в систему
register	Zarejestruj się	Register	регистрироваться
forgetPassword	Zapomniałem hasła...	Forgot my password...	Забыл пароль...
offlineVer	Wersja offline	Offline version	Оффлайн версия
areStudent	Jesteś uczniem w klasie? Poproś nauczyciela o login i hasło.	You're a student in a class? Ask your tutor for a login and password.	Вы студент в классе? Попросите вашего репетитора логин и пароль.
enterYourPassword	Wprowadź hasło	Enter your password	Введите ваш пароль
enterYourLoginOrEmail	Wprowadź login lub adres e-mail	Enter your login or e-mail address	Введите свой логин или адрес электронной почты
loginOrPasswordIsIncorrect	Login lub hasło jest niepoprawne	Login or password is incorrect	Логин или пароль неверны
registrationFinished	Zakończono rejestrację	Registration completed	Регистрация завершена
enterPINRegistrationBegin	Na podany przez Ciebie mail 	An activation PIN has been sent on 	PIN-код активации был отправлен на
enterPINRegistrationInter	 został wysłany PIN aktywacyjny. Zminimalizuj okno Pixblocks i sprawdź swoją skrzynkę pocztową. Następnie wpisz otrzymany numer PIN i naciśnij aktywuj. Jeśli na Twój adrs e-mail	Minimize the Pixblocks window and check your inbox. Then enter the PIN number you received and press activate. If you have not received the activation PIN at 	Сверните окно Pixblocks и проверьте свой почтовый ящик. Затем введите полученный вами PIN-код и нажмите активировать. Если вы не получили PIN-код активации на
enterPINRegistrationEnd	 nie dotarł PIN aktywacyjny odczekaj kilka minut i odśwież pocztę. Sprawdź też czy wiadomość nie wylądowała w SPAM'ie. W przypadku problemów z aktywacją prosimy o kontakt z support@pixblocks.com.	 , please wait a few minutes and refresh your mail. Also check if the message has landed in SPAM. If you have problems with activation, please contact support@pixblocks.com.	Пожалуйста, подождите несколько минут и обновите свою почту. Также проверьте, не попало ли сообщение в спам. Если у вас возникли проблемы с активацией, пожалуйста, свяжитесь с нами support@pixblocks.com.
PIN	Kod PIN	PIN number	PIN-код
cancel	Anuluj	Cancel	Отмена
activate	Aktywuj	Activate	Активировать
invalidPIN	Niepoprawny kod PIN	PIN is incorrect	PIN-код неверен
registration	Rejestracja	Registration	Регистрация
enterSurname	Twoje nazwisko:	Your surname:	Ваша фамилия:
enterEmail	Twój adres e-mail	Your e-mail address	Ваша электронная почта
chooseAvatar	Twój avatar	Your avatar	Ваш аватар
passwordAgain	Hasło ponownie	Password again	Пароль еще раз
back	Wstecz	Back	назад
enterNameWarn	Wprowadź imię	Enter name	Введите имя
enterSurnameWarn	Wprowadź nazwisko	Enter surname	Введите фамилию
enterEmailWarn	Wprowadź adres e-mail	Enter e-mail address	Введите адрес электронной почты
enterPasswordWarn	Wprowadź hasło	Enter password	Введите пароль
enterPasswordAgainWarn	Wprowadź hasło ponownie	Enter password again	Введите пароль еще раз
enterValidEmail	Wprowadź poprawny adres e-mail	Enter correct e-mail address	Введите правильный адрес электронной почты
max30	Maksymalnie 30 znaków	Up to 30 characters	До 30 символов
max50	E-mail nie może przekraczać 50 znaków	E-mail address cannot be longer than 50 characters	Адрес электронной почты не может быть длиннее 50 символов
noSpaces	Hasło nie może zawierać spacji	Password cannot contain space	Пароль не может содержать пробел
passwordRange	Hasło musi zawierać od 5 do 25 znaków	Password must be between 5 and 25 characters long	Длина пароля должна составлять от 5 до 25 символов.
passwordsDiffer	Hasła różnią się	Passwords differ	Пароли должны совпадать
emailOccupied	E-mail jest już w użyciu! Podaj inny adres e-mail	E-mail is already in use. Enter another address	Электронная почта уже используется. Введите другой адрес
passwordChange	Zmiana hasła	Password change	Смена пароля
newPassword	Nowe hasło:	New password:	Новый пароль:
confirmNewPassword	Potwierdź nowe hasło	Confirm new password	Подтвердите новый пароль
enterNewPasswordTwice	Wprowadź dwukrotnie nowe hasło	Enter new password twice	Введите новый пароль дважды
save	Zapisz	Save	Сохранить
enterNewPasswordWarn	Wprowdź nowe hasło	Enter new password	Введите новый пароль
enterNewPasswordAgainWarn	Wprowdź nowe hasło ponownie	Enter new password again	Введите новый пароль еще раз
verifyEmail	Proszę zweryfikuj swój adres e-mail	Verify your e-mail	Подтвердите Ваш электронный адрес
verifyEmailInfo	Zanim zaczniesz korzystać z PixBlocks musisz zweryfikować swój adres e-mail.	Before you start using Pixblocks, you have to verify your e-mail address	Перед тем, как начать использовать Pixblocks, вы должны подтвердить свой адрес электронной почты
noInternet	Brak dostępu do Internetu	No internet connection	Нет соединения с интернетом
justOffline	Nie masz dostępu do internetu. Możesz używać jedynie wersji Offline.	You don't have internet connection. You can use Offline version only.	У вас нет подключения к интернету. Вы можете использовать только в автономном режиме версии.
